法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
政令,明治五年太政官布告第三百三十七号,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,,明治五年十一月九日,平成２７年８月１日（基準日）現在のデータ,,,,,105DF0000000337,https://elaws.e-gov.go.jp/document?lawid=105DF0000000337_20150801_000000000000000,,
政令,明治六年太政官布告第六十五号,明治六年太政官布告第六十五号（絞罪器械図式）,こうざいきかいずしき,,明治六年二月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,106DF0000000065,https://elaws.e-gov.go.jp/document?lawid=106DF0000000065_20150801_000000000000000,,
政令,明治八年太政官布告第五十四号,明治八年太政官布告第五十四号（勲章制定ノ件）,くんしょうせいていのけん,,明治八年四月十日,平成２７年８月１日（基準日）現在のデータ,,,,,108DF0000000054,https://elaws.e-gov.go.jp/document?lawid=108DF0000000054_20150801_000000000000000,,
政令,明治八年太政官布告第百三号,明治八年太政官布告第百三号（裁判事務心得）　抄,さいばんじむこころえしょう,,明治八年六月八日,平成２７年８月１日（基準日）現在のデータ,,,,,108DF0000000103,https://elaws.e-gov.go.jp/document?lawid=108DF0000000103_20150801_000000000000000,,
政令,明治八年太政官達第百五十二号,明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,ふようぶっぴんとうはらいさげのときそのかんちょうしょぞくのかんりにゅうさつきんしのけん,,明治八年八月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,108DT0000000152,https://elaws.e-gov.go.jp/document?lawid=108DT0000000152_20150801_000000000000000,,
政令,明治十年太政官達第九十七号,明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,だいくんいきっかだいじゅしょうおよびふくしょうせいしきのけん,,明治十年十二月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,110DT0000000097,https://elaws.e-gov.go.jp/document?lawid=110DT0000000097_20150801_000000000000000,,
政令,明治十三年太政官布告第三十六号,明治十三年太政官布告第三十六号（刑法　抄）,けいほうしょう,,明治十三年七月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,113DF0000000036,https://elaws.e-gov.go.jp/document?lawid=113DF0000000036_20150801_000000000000000,,
政令,明治十四年太政官布告第六十三号,明治十四年太政官布告第六十三号（褒章条例）,ほうしょうじょうれい,,明治十四年十二月七日,平成２７年８月１日（基準日）現在のデータ,,,,,114DF0000000063,https://elaws.e-gov.go.jp/document?lawid=114DF0000000063_20150801_000000000000000,,
政令,明治十六年太政官達第二十七号,明治十六年太政官達第二十七号（官報の発行）,かんぽうのはっこう,,明治十六年六月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,116DT0000000027,https://elaws.e-gov.go.jp/document?lawid=116DT0000000027_20150801_000000000000000,,
法律,明治十七年太政官布告第三十二号,明治十七年太政官布告第三十二号（爆発物取締罰則）,ばくはつぶつとりしまりばっそく,,明治十七年十二月二十七日,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律等の一部を改正する法律,平成二十九年法律第六十七号,平成二十九年六月二十一日,平成二十九年八月十日,,117DF1000000032,https://elaws.e-gov.go.jp/document?lawid=117DF1000000032_20170810_429AC0000000067,,
勅令,明治十九年勅令第〇号,メートル条約,めーとるじょうやく,,明治十九年四月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,119IO0000000000,https://elaws.e-gov.go.jp/document?lawid=119IO0000000000_20150801_000000000000000,,
